day_of_year,humidity,pressure,rain,temperature
103,71,1017.6,0,28.5
104,64,1016.9,0,31.2
105,81,1017.0,1,28.4
106,75,1013.5,0,28.1
107,69,1014.4,0,28.3
108,69,1019.9,0,30.8
109,68,1018.0,0,28.6
110,75,1011.9,0,27.1
111,83,1018.3,1,27.8
112,76,1010.2,1,26.7
113,79,1012.6,1,27.3
114,66,1015.9,0,29.0
115,71,1012.0,0,28.1
116,64,1015.1,0,28.3
117,73,1017.1,0,27.2
118,64,1013.2,0,27.5
119,84,1014.1,1,29.0
120,83,1014.1,1,28.1
121,66,1011.8,0,28.5
122,61,1016.6,0,26.9
123,72,1017.7,0,28.9
124,77,1010.6,1,26.2
125,61,1017.7,0,28.0
126,77,1012.1,1,26.7
127,72,1011.2,0,26.7
128,70,1018.6,0,27.5
129,76,1010.2,1,25.5
130,81,1012.0,1,27.7
131,70,1018.4,0,26.1
132,67,1016.6,0,26.6
133,77,1014.0,1,25.1
134,75,1013.3,1,27.5
135,74,1011.5,0,27.2
136,67,1019.7,0,24.0
137,62,1013.6,0,27.5
138,60,1018.7,0,27.2
139,72,1016.9,0,25.9
140,84,1017.0,1,26.3
141,61,1013.4,0,27.0
142,71,1014.4,0,26.5
143,75,1012.7,0,24.0
144,84,1016.3,1,24.3
145,83,1013.3,1,22.7
146,61,1017.3,0,25.4
147,64,1016.5,0,24.1
148,81,1014.1,1,26.0
149,80,1012.8,1,23.8
150,72,1018.2,0,25.2
151,79,1016.2,1,22.3
152,75,1013.4,0,25.2
153,64,1010.3,0,23.6
154,83,1019.8,1,24.6
155,85,1013.0,1,21.6
156,65,1012.8,0,22.7
157,75,1019.2,1,21.1
158,62,1016.9,0,21.1
159,74,1019.0,0,23.6
160,72,1018.3,0,21.8
161,80,1016.0,1,20.1
162,68,1015.8,0,20.4
163,74,1016.4,0,20.0
164,77,1013.0,1,23.1
165,66,1013.0,0,23.0
166,62,1010.1,0,19.8
167,72,1010.8,0,22.2
168,60,1016.7,0,19.6
169,75,1019.7,0,20.8
170,83,1016.2,1,20.2
171,71,1011.4,0,18.7
172,84,1017.4,1,21.7
173,68,1012.1,0,21.3
174,71,1015.5,0,20.4
175,62,1019.2,0,20.2
176,72,1015.9,0,18.4
177,79,1018.0,1,19.3
178,84,1016.7,1,20.6
179,74,1010.7,0,18.1
180,70,1014.9,0,20.7
181,65,1017.2,0,18.6
182,65,1011.6,0,16.6
183,74,1019.7,0,16.5
184,65,1017.3,0,16.4
185,71,1019.1,0,18.0
186,74,1018.6,0,17.7
187,69,1017.8,0,15.7
188,74,1014.1,0,16.2
189,67,1019.4,0,16.6
190,75,1011.2,0,16.1
191,69,1016.1,0,17.1
192,69,1015.3,0,18.3
193,77,1012.6,1,15.3
194,75,1011.8,1,14.8
195,61,1017.7,0,14.8
196,61,1017.1,0,16.2
197,66,1014.9,0,16.0
198,78,1011.0,1,14.4
199,70,1011.1,0,17.4
200,85,1015.6,1,14.7
201,80,1013.0,1,13.5
202,83,1017.3,1,13.8
203,75,1012.4,0,15.2
204,70,1019.9,0,14.7
205,65,1019.1,0,15.5
206,65,1011.3,0,16.2
207,67,1014.3,0,12.8
208,61,1018.5,0,13.2
209,69,1017.7,0,12.3
210,76,1018.2,1,15.7
211,67,1016.3,0,12.4
212,62,1014.7,0,13.6
213,69,1012.4,0,14.6
214,61,1011.9,0,15.0
215,66,1018.2,0,14.0
216,83,1018.4,1,15.1
217,62,1012.2,0,14.1
218,78,1013.6,1,11.6
219,64,1015.7,0,13.7
220,64,1015.3,0,12.7
221,70,1011.2,0,10.8
222,74,1019.7,0,12.3
223,83,1016.2,1,12.5
224,65,1013.0,0,13.5
225,66,1019.9,0,13.7
226,72,1017.4,0,13.3
227,63,1018.1,0,12.8
228,73,1013.2,0,13.8
229,75,1013.4,0,12.9
230,75,1014.2,1,10.8
231,60,1012.5,0,10.6
232,66,1016.1,0,11.8
233,64,1010.1,0,10.3
234,65,1015.3,0,10.5
235,71,1013.2,0,10.3
236,72,1019.9,0,12.2
237,63,1017.5,0,10.6
238,74,1015.6,0,12.2
239,67,1018.6,0,9.1
240,66,1010.2,0,12.6
241,71,1012.4,0,10.1
242,61,1014.2,0,12.7
243,65,1019.9,0,11.4
244,74,1011.5,0,12.3
245,84,1010.1,1,12.4
246,74,1013.8,0,9.2
247,69,1011.0,0,10.5
248,76,1011.0,1,11.5
249,85,1012.2,1,12.3
250,70,1014.2,0,10.2
251,74,1012.6,0,9.8
252,70,1013.5,0,8.2
253,71,1012.3,0,8.4
254,78,1015.7,1,9.9
255,62,1018.3,0,12.1
256,61,1011.4,0,10.4
257,64,1014.3,0,12.0
258,60,1018.0,0,9.2
259,72,1019.5,0,10.7
260,76,1016.2,1,11.0
261,85,1013.8,1,11.5
262,63,1011.5,0,9.8
263,85,1011.8,1,8.8
264,67,1011.2,0,10.6
265,75,1018.4,1,9.3
266,70,1013.6,0,11.3
267,60,1016.6,0,9.9
268,79,1019.5,1,8.8
269,63,1013.2,0,10.1
270,83,1013.2,1,9.9
271,68,1013.7,0,9.6
272,75,1017.3,1,11.4
273,71,1017.1,0,9.7
274,83,1019.7,1,8.8
275,60,1015.1,0,10.7
276,78,1011.9,1,8.7
277,81,1016.3,1,9.1
278,60,1016.7,0,10.4
279,65,1014.4,0,9.0
280,66,1011.8,0,11.1
281,62,1010.8,0,10.8
282,81,1016.3,1,10.9
283,64,1011.5,0,9.8
284,71,1019.8,0,10.2
285,63,1014.5,0,11.9
286,81,1011.5,1,10.9
287,82,1010.9,1,9.8
288,78,1017.6,1,9.2
289,78,1012.5,1,11.0
290,85,1016.4,1,11.9
291,77,1013.2,1,10.0
292,68,1019.7,0,10.9
293,72,1012.9,0,11.7
294,68,1019.6,0,9.5
295,66,1016.4,0,11.7
296,73,1014.0,0,11.2
297,73,1018.7,0,12.9
298,61,1012.9,0,12.0
299,63,1017.6,0,10.3
300,75,1018.1,0,10.9
301,70,1017.8,0,10.7
302,74,1016.2,0,13.6
303,67,1014.3,0,13.7
304,85,1010.2,1,10.8
305,74,1010.8,0,14.3
306,61,1015.2,0,11.7
307,80,1014.5,1,11.7
308,66,1014.8,0,11.9
309,64,1019.0,0,13.7
310,68,1012.4,0,11.5
311,70,1017.7,0,12.0
312,66,1015.2,0,13.5
313,71,1015.7,0,14.1
314,62,1014.7,0,14.7
315,66,1019.5,0,11.9
316,84,1015.0,1,15.4
317,71,1014.6,0,15.4
318,60,1018.0,0,15.6
319,77,1019.9,1,14.2
320,67,1016.6,0,16.2
321,83,1017.7,1,16.1
322,74,1015.4,0,15.7
323,75,1010.1,1,14.2
324,72,1018.5,0,14.2
325,70,1012.6,0,15.7
326,83,1016.4,1,15.1
327,82,1015.7,1,14.4
328,78,1011.6,1,17.4
329,65,1019.6,0,16.3
330,82,1012.2,1,17.6
331,75,1015.1,0,17.0
332,81,1019.5,1,17.1
333,65,1012.8,0,15.1
334,81,1019.8,1,16.2
335,69,1013.0,0,17.2
336,67,1018.1,0,16.4
337,68,1019.0,0,17.6
338,69,1017.5,0,15.6
339,60,1010.7,0,19.1
340,74,1018.9,0,18.2
341,65,1012.6,0,19.5
342,72,1017.1,0,16.3
343,85,1010.4,1,19.2
344,61,1017.3,0,16.3
345,78,1018.8,1,18.3
346,64,1017.2,0,19.0
347,83,1019.7,1,19.7
348,63,1016.1,0,16.9
349,84,1013.6,1,21.0
350,60,1013.3,0,18.4
351,60,1015.4,0,20.6
352,83,1016.5,1,19.1
353,61,1018.1,0,18.9
354,78,1013.5,1,18.8
355,63,1015.5,0,18.4
356,71,1016.2,0,21.8
357,65,1018.5,0,20.5
358,80,1015.9,1,18.5
359,62,1016.4,0,20.1
360,65,1012.7,0,19.5
361,62,1012.6,0,21.3
362,85,1011.2,1,20.6
363,71,1011.1,0,21.0
364,84,1013.8,1,22.3
365,63,1019.1,0,23.4
